"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Guinée-Bissau","GNB","Guinea-Bissau",-0.845017687545171,-0.497543451207981,-1.08364792930357,1.09015377785196,-0.271115429976945,-1.60857265657025,-0.679090574148968,0.243036469535035,0.233216092766541,-0.471939332549427,0,-0.39077106924793,0
"Grèce","GRC","Greece",0.275937902627334,-0.171887315837948,0.235056481387035,-1.29118132497298,-0.214638569379099,0.353055051903782,0.314686387201422,-1.08982726630123,-0.822060863631562,0.330894904580252,0,-0.999943790373109,0
"Grenade","GRD","Grenada",-0.933033284916122,2.92006440098279,1.39195761419678,-0.733180744851281,-0.282723852782308,-0.813377677850024,-0.165623604564502,1.95394882862668,-0.564676240119829,1.16853153688084,0,0.306255806223201,0
"Guatemala","GTM","Guatemala",-0.138797521499995,-0.122382088611398,-0.0310795106855902,0.257161729451724,-0.176888925487116,-0.10079998507103,-0.483951364302746,-0.108354879003618,-0.63159624223288,-0.488849170155412,0,0.795476042618631,0
"Guyana","GUY","Guyana",1.87482151922965,-0.513485250378365,1.17042887711394,-0.744741733244969,-0.278419274297182,-0.653969417607243,-0.363517678788443,-0.447629284489214,-0.500330084241896,-0.133775247321787,0,0.358224308648001,0
"Hong-Kong","HKG","China, Hong Kong SAR",-0.79040323599349,5.18957677846294,1.89283054996748,-0.492310684754849,-0.235265068484577,1.6684130417275,1.67839231668076,-0.446114666607582,-0.529671931322234,-0.10746678672695,0,0.961542808721002,0
"Honduras","HND","Honduras",0.327551172979612,-0.498815400692388,0.15882232614667,0.331739650745413,-0.220898472895117,-0.593545379692073,-0.579892920246849,0.0800878193575244,-0.461722390715136,-0.49054155392567,0,0.745841841256758,0
"Croatie","HRV","Croatia",-0.184427520258846,-0.171253626779436,-0.251900242152242,-1.70836156400697,-0.257354496530786,0.757754769987463,0.0474349339781628,-1.08982726630123,-0.822060863631562,0.887601365939854,0,-1.26447467360901,1
"Haïti","HTI","Haiti",-0.888000130858954,-0.132001368281018,-0.708858694276851,-0.0314871520036196,-0.211163598955483,-1.80389348567149,-0.639899181529042,0.273328827167677,-0.0499069930963645,-0.833884046976696,1,0.368920890808655,0
"Hongrie","HUN","Hungary",2.13537635321001,-0.148910135313284,0.317969456848986,-1.23533169309787,-0.220737872541244,0.741781861092355,0.10012161601554,-1.08982726630123,-0.822060863631562,0.971665108759804,0,-1.22143082791132,1
"Indonésie","IDN","Indonesia",-0.196048154922226,-0.585133120883774,-0.763431649761814,-0.172708709295626,1.45325370122429,0.44298676516813,-0.504345456227659,-0.162671014949834,0.0242197784750145,-0.401823267362047,0,1.46741399385068,0
"Inde","IND","India",-0.758487587267067,-0.585133120883774,-1.05475937785265,-0.251407606799865,8.48532488020472,0.557170636906994,-0.607472697423258,-0.444939323131435,-0.307291616608097,-0.702875050007839,0,0.169418786581964,0
"Irlande","IRL","Ireland",0.825856537381789,0.494645608249763,0.314535661529964,0.0779862198647165,-0.251777269656862,1.22149086395184,3.35438147407926,-0.476709947816551,-0.435983928363963,1.18245989655066,0,-1.34343587964101,1
"Iran","IRN","Iran (Islamic Republic of)",0.624847758527732,-0.582427462770006,0.355411384273066,0.0637298693393219,0.248644044444216,-0.41610296397436,-0.455200397831926,0.51054125196193,-0.358768541310443,-1.71882798243591,0,-0.448567000546451,0
"Iraq","IRQ","Iraq",-0.788233589834603,-0.431047087042022,-0.928330436593574,0.902026516144478,-0.031178321604485,-1.49400565928651,-0.435207157887388,0.471911952831062,1.75178537148576,-2.69217004721095,0,-0.539870582839303,0
"Islande","ISL","Iceland",0.629991366855466,-0.274040957600956,0.559620305182218,0.850710081311555,-0.281128752304439,1.17363131926125,2.4163529496471,-0.205290423428074,-0.822060863631562,1.91275692000439,0,-0.964568490433845,1
"Israël","ISR","Israel",2.9075011207368,-0.585133120883774,2.73707554358667,0.581192988461776,-0.22534001025311,0.995632125566745,1.39713458881524,-0.346654678267452,-0.461722390715136,-0.727371094996461,0,-0.69217891500793,0
"Italie","ITA","Italy",0.348296505689069,-0.496869395338124,-0.116923681576434,-2.2650405187764,0.0998592201938585,0.697762137665502,1.02329998815047,-1.08982726630123,-0.822060863631562,0.57252886639784,0,-1.25715520652525,1
"Jamaïque","JAM","Jamaica",1.62840266249453,0.0235929854881454,1.97884282569172,-0.769067701369188,-0.264522511430017,0.450865757572611,-0.440020815674478,1.10576281491269,-0.358768541310443,0.564849867677281,0,0.466074792380123,0
"Jordanie","JOR","Jordan",0.0990728913094473,-0.240911943614051,0.144668722069075,0.0701682860957101,-0.218616582260137,0.395932407090135,-0.490475126840544,-0.591301574641338,0.156000705713021,-0.150650138950215,0,-0.668898592873881,0
"Japon","JPN","Japan",0.0926523304931326,-0.0992018923041674,-0.0924195036812051,-1.38753655931064,0.526842399897803,1.09874195589583,1.25457585937166,-0.326843476375704,-0.271257769316454,1.25349996811357,0,0.983952775232523,0
"Kazakstan","KAZ","Kazakhstan",-0.281602661135644,-0.0337937160046565,-0.104567757312225,0.00546565671556303,-0.164634071176664,1.22016783488531,-0.0968787267500165,-1.08982726630123,-0.822060863631562,-0.0491984932101852,0,-0.0991389870879913,0
"Kenya","KEN","Kenya",-0.837629359397266,-0.585133120883774,-1.14172066509631,0.919322578008346,0.0539424200498127,0.72625748942051,-0.627648973118943,0.927643752032755,-0.230076229554577,-1.06204872205945,0,0.142671348460869,0
"Kirghizistan","KGZ","Kyrgyzstan",-0.863200397766812,-0.289779584378457,-0.853839931690747,0.747480002081433,-0.242010976419995,0.306097253922461,-0.647861772931566,0.119663936418558,0.207477630415368,-0.128731305542479,0,-0.134796775433132,0
"Cambodge","KHM","Cambodia",-0.837319289764997,-0.581731306128753,-1.11191303709685,0.151219197862768,-0.177642860273917,-0.782233153120116,-0.636255386543495,-0.508213999754499,-0.204337767203404,0.0365324549117213,0,1.04174090298392,0
"Kiribati","KIR","Kiribati",-0.453840664076792,0.368614274444288,-0.235498743757019,0.213102547344562,-0.282687877173588,-1.32000981605173,-0.624162905810264,0.570193931967574,-0.204337767203404,1.3587568184036,0,2.19242074765197,0
"Saint-Christophe-et-Niévès","KNA","Saint Kitts and Nevis",-0.933033284916122,3.66093280900011,2.10683330970265,-0.49394160955822,-0.2831035539626,-0.720554612658631,0.450752853693345,-0.336845770527141,-0.358768541310443,0.919318313464974,0,0.212717288034129,0
"Corée du Sud","KOR","Republic of Korea",0.102330042515778,-0.384696423942148,-0.00262366451891984,-0.869904629900384,0.0487498613774346,1.56604610117444,0.998892190056432,-0.327334939585936,-0.684360090052785,0.731870911574345,0,0.79038266741101,0
"Koweït","KWT","Kuwait",-0.182872163050839,1.46782690874492,1.61853926415454,0.361033240677334,-0.256444363685435,0.273690439541667,0.756117038048409,0.445940254752279,0.886037185995253,0.342726939708178,0,-0.397380933779917,0
"Lao, Rép. dém. Pop.","LAO","Lao People's Democratic Republic",-0.650048371268533,-0.553842511479171,-0.908379208328431,0.217071928605415,-0.2374337700745,-1.01742473633302,-0.574633562321858,-0.548199911829587,-0.230076229554577,0.694003906110723,0,0.859080674277774,0
"Liban","LBN","Lebanon",0.10274107550534,-0.454242706871461,-0.214761271353739,-1.24340445556279,-0.239447191285509,-0.744327864202058,-0.344847357432111,0.824649736081771,-0.127122380149884,-1.68149330622669,1,-0.714254369466083,0
"Libéria","LBR","Liberia",-0.75040377942864,-0.176205252333535,-0.616724597526416,1.0629062448736,-0.251757799446935,-1.60901807895169,-0.679071948753071,1.36385370194281,1.26275458681347,-0.226039682384396,0,-0.273284765527499,0
"Libye","LBY","Libya",0.0980699677670493,0.0437751577055756,0.500836190778009,0.172979989625805,-0.239949386654035,-2.42993074922661,-0.390939115486969,0.454909943016735,-0.513199315417483,-2.65341799688094,0,-1.02361715116395,0
"Sainte-Lucie","LCA","Saint Lucia",-0.624726789926259,0.948939524288997,0.695994007034562,-0.731920628666433,-0.282269550023107,-0.0186631634818002,-0.123315761189815,0.950798018512842,-0.320160847783683,1.12480934373034,0,0.249936306040478,0
"Sri Lanka","LKA","Sri Lanka",-0.444501825618503,-0.585133120883774,-0.729156599149009,-0.624507597807728,-0.143525341047778,-0.162277618234595,-0.485517737137845,-0.363618398541732,0.633592288177958,-0.102523124709327,0,0.671911295925334,0
"Lesotho","LSO","Lesotho",-0.879998173796745,-0.0837377315691346,-0.793592021014497,-0.449389568631014,-0.269804046523176,-0.347356847404645,-0.654933605717621,-0.726318974709525,-0.358768541310443,-0.32379801581933,0,0.809286240081629,0
"Lituanie","LTU","Lithuania",1.08393602445102,0.398399157565241,0.512345675621396,-1.4393159613112,-0.265511680236301,1.38060788648369,0.219250619968253,-1.08982726630123,-0.822060863631562,0.979972483909105,0,-1.10358269972259,1
"Luxembourg","LUX","Luxembourg",-0.933033284916122,0.50036503479413,-0.0971610419664433,0.631259635427159,-0.279463850418072,0.44487981028923,5.16430991764379,-1.08982726630123,-0.822060863631562,1.59790668556187,1,-1.47065991767518,1
"Lettonie","LVA","Latvia",0.0976221267723825,0.821497050612752,-0.00613309792377691,-1.83951129249677,-0.271160961005106,1.27634322854679,0.155076056482089,-1.08982726630123,-0.822060863631562,0.614941670668762,0,-1.10246367106505,1
"Maroc","MAR","Morocco",0.397400745401728,-0.574368927758492,-0.0243480638687651,-0.058141933291316,-0.0493908804673075,0.739094531305059,-0.546787514829952,-0.537025424607197,-0.22264090255057,-0.235220706972621,1,-1.07326409831946,0
"Moldavie","MDA","Republic of Moldova",-0.0237013036953325,-0.101099985025022,0.243574473320398,-2.68935191931199,-0.266340563138377,0.817711581628401,-0.528272735729457,-0.889224537037538,-0.610433512241573,-0.293116641331008,0,-1.03164492020831,0
"Madagascar","MDG","Madagascar",-0.755411536366415,-0.585133120883774,-1.05132968469824,1.27598307111626,-0.11037139827552,-1.25850648544308,-0.68781505990794,0.352088957012548,-0.0522466193240861,-0.21438682678736,1,0.73364177568361,0
"Maldives","MDV","Maldives",-0.933033284916122,0.576779765062894,-0.460563473566561,1.51613872400897,-0.280035276051825,-0.826643010485953,-0.162160411886007,1.28630526640324,0.106811415544447,0.168389597267559,0,0.611606264108316,0
"Mexique","MEX","Mexico",0.619728870725238,-0.131010456219596,0.860092965717401,-0.178806012945299,0.535252953025983,0.659216748751745,-0.182554076298096,0.000697608473895013,-0.307291616608097,-0.774615234928572,0,0.848999271748704,0
"Macédoine","MKD","North Macedonia",-0.905895494874993,0.522131904791518,-0.0459492620753871,-1.17191208726112,-0.270115755984883,1.31275027854547,-0.422649501417686,-0.726318974709525,-0.564676240119829,0.138386087921537,0,-1.11093260064013,0
"Mali","MLI","Mali",-0.775355744486855,-0.58228012992762,-1.09313906611582,1.59184643272372,-0.157290388008955,-0.852325660070079,-0.670139765675448,0.230919526481978,-0.358768541310443,-2.25515323340028,1,-0.469034664178891,0
"Malte","MLT","Malta",-0.485811429258112,0.416246583426097,0.0481692217041415,2.46105155519678,-0.280207870414385,0.175158647989605,0.774144620157488,-0.532447885860613,-0.822060863631562,1.24561650286594,0,-1.08995328443462,1
"Birmanie","MMR","Myanmar",0.961677823284456,-0.584095398172776,0.6644300474615,-0.611661985476576,0.0633852472578707,-1.32866051051915,-0.630446777712196,0.016853613324258,0.258954555117714,-1.30766468034456,0,0.767299514900954,0
"Monténégro","MNE","Montenegro",-0.570625896491987,0.0460107067961688,-0.29021753135861,-1.22299803044203,-0.279450842469646,0.773169343484864,-0.298410008776001,-0.349347305352702,-0.513199315417483,0.207103011672071,0,-1.16876260742776,0
"Mongolie","MNG","Mongolia",-0.933033284916122,-0.341679523243157,-1.05433977939617,0.404164029425859,-0.262745620541195,0.302338418546258,-0.47631936839342,-0.581454135022119,-0.397090229043557,0.822136046020326,0,0.288863260393962,0
"Mozambique","MOZ","Mozambique",-0.725170469066614,-0.540806638041182,-1.00421615885948,1.50888190091292,-0.0885733816442145,-0.692629276958187,-0.681865869725852,-0.122895210667286,-0.513199315417483,-0.679478175394052,0,0.757656671720233,0
"Mauritanie","MRT","Mauritania",-0.870770087336796,-0.200969392574679,-0.846570956147431,1.35502809629621,-0.254399664358675,-0.998866508720485,-0.626519137930093,0.315738127853377,1.2370161244623,-0.483605537075778,0,-0.558722391980668,0
"Maurice","MUS","Mauritius",1.33778617808552,-0.407891517279566,1.2289339859744,-1.16329700570566,-0.275320109728404,1.36882054629525,-0.137974710931646,-0.188023779577468,0.0305257017510519,1.01194783631796,1,0.905166862880752,0
"Malawi","MWI","Malawi",-0.521597366045382,-0.585133120883774,-0.807013913972397,1.26156718135729,-0.163895589344876,-0.229950671794488,-0.692555345950781,-0.742164301140007,0.00948965647143802,-0.170410135756824,0,0.444214715822583,0
"Malaisie","MYS","Malaysia",2.09561810416256,-0.456990058219241,1.07437550825494,0.0419409328240687,-0.0784099448966055,1.36923014799566,-0.0962388010048308,-0.574857186546312,-0.513199315417483,0.289804729590344,0,1.16883727498715,0
"Namibie","NAM","Namibia",-0.684518641133023,0.111837129505083,-0.552327493365712,0.545331401481262,-0.267434398762037,-0.197736977607043,-0.47029913698599,-0.738435917762582,-0.500330084241896,0.708475664878767,0,0.557187447886683,0
"Niger","NER","Niger",-0.887098158278382,-0.577915304672072,-1.17124734594014,2.33356670499184,-0.133849795417565,-0.555278769121942,-0.685922955917874,0.0285665774959261,0.629588412974609,-1.39667924802226,1,-0.522909833284241,0
