"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Hong-Kong","HKG","China, Hong Kong SAR",19,773,399,0.754094920172569,7507400,85.3154,331749697713.935,265.625,56.8,-0.222178,0,9639.476,0
"Honduras","HND","Honduras",218,15,231,1.64061784169287,9746115,56.26791,24191028957.12,482.76,70,-0.5751516,0,8810.234,0
"Croatie","HRV","Croatia",54,30,68,-0.554146739042888,4065253,73.62096,57190160216.5408,0,0,0.6946999,0,1081.762,1
"Haïti","HTI","Haiti",9,91,101,1.24985422874917,11263079,40.72493,15474153940.1499,562.5,150,-0.891515,1,7361.197,0
"Hongrie","HUN","Hungary",532,76,258,-0.0452557101106228,9771141,73.41584,146968695014.007,0,0,0.7721581,0,1247.24,1
"Indonésie","IDN","Indonesia",3539,0,2176,1.09792643725552,270625567,69.57879,1049318966508.58,382.5867,164.4,-0.4934046,0,11584.25,0
"Inde","IND","India",4232,0,4227,1.01326124930492,1366417756,71.04511,2695611314661.46,266.11,100,-0.7708004,0,6594.23,0
"Irlande","IRL","Ireland",154,95,130,1.36762695363797,4934340,79.57614,370781201762.173,253,75,0.9663891,0,778.2031,1
"Iran","IRN","Iran (Islamic Republic of)",2292,4,2242,1.35228980616831,82913893,58.54658,396745289342.132,660.3846,90,-1.706922,0,4218.442,0
"Iraq","IRQ","Iraq",101,108,206,2.25413907484826,39309789,44.70443,202613535336.009,644.4444,500,-2.603781,0,3867.434,0
"Islande","ISL","Iceland",10,2,11,2.19893225826166,360563,78.96154,20847341424.8856,365,0,1.639301,0,2234.723,1
"Israël","ISR","Israel",617,0,611,1.90898263957994,9054000,76.67572,353062816517.302,306.6667,70,-0.7933716,0,3281.899,0
"Italie","ITA","Italy",1358,94,1136,-1.15302842389952,59729081,72.85055,1916765622508.59,0,0,0.4043851,0,1109.901,1
"Jamaïque","JAM","Jamaica",134,32,161,0.456356507419859,2948277,69.67997,14934128282.7371,906,90,0.3973095,0,7734.696,0
"Jordanie","JOR","Jordan",185,62,237,1.35921632969114,10101697,68.97453,41755867661.2459,205.7143,190,-0.2619681,0,3371.398,0
"Japon","JPN","Japan",2298,1094,2454,-0.208999472902293,126264931,77.99983,4591290538384.75,314.8417,107,1.031847,0,9725.629,0
"Kazakstan","KAZ","Kazakhstan",214,182,356,1.28960848954226,18513673,79.55915,211106972039.014,0,0,-0.1684883,0,5561.785,0
"Kenya","KEN","Kenya",89,0,85,2.27274637907931,52573967,73.21648,84125098675.5269,832.5,115,-1.101751,0,6491.402,0
"Kirghizistan","KGZ","Kyrgyzstan",8,34,42,2.08787614010317,6456200,67.82089,7920624102.90056,499.0909,200,-0.2417716,0,5424.702,0
"Cambodge","KHM","Cambodia",28,1,35,1.44641184190217,16486542,53.84483,23760061873.2798,240,120,-0.0894939,0,9947.79,0
"Kiribati","KIR","Kiribati",1,2,2,1.51298666799305,117608,46.93884,195759870.68938,685,120,1.128833,0,14371.47,0
"Saint-Christophe-et-Niévès","KNA","Saint Kitts and Nevis",0,4,3,0.752340352327407,52834,54.63689,1136818536.07058,310.7143,90,0.7239246,0,6760.687,0
"Corée du Sud","KOR","Republic of Korea",951,185,1085,0.347874968577526,51764822,84.00083,1637850078348.95,314.6389,26.75,0.5512064,0,8981.467,0
"Koweït","KWT","Kuwait",56,154,204,1.67213222595982,4207077,67.40473,114249382864.585,633.7273,331.8182,0.1926405,0,4415.222,0
"Lao, Rép. dém. Pop.","LAO","Lao People's Democratic Republic",36,4,40,1.5172569744542,7169456,50.82456,18491845636.2733,223.5,115,0.5163149,0,9245.57,0
"Liban","LBN","Lebanon",126,16,119,-0.0539404817281259,6855709,54.3316,46777216084.3953,790,135,-1.672521,1,3197.032,0
"Libéria","LBR","Liberia",16,36,52,2.4272153554856,4937374,43.22747,3211334057.92828,1012.5,405,-0.3314337,0,4892.298,0
"Libye","LBY","Libya",124,76,200,1.46982235441249,6777453,32.68552,40473930298.8275,637.4286,60,-2.568074,0,2007.716,0
"Sainte-Lucie","LCA","Saint Lucia",1,5,6,0.496319759662675,182795,63.6504,1995116519.64915,842.0545,97.5,0.9132686,0,6903.772,0
"Sri Lanka","LKA","Sri Lanka",189,0,188,0.611875945764341,21803000,61.80614,92119992734.643,299.6667,282.7778,-0.2176228,0,8526.015,0
"Lesotho","LSO","Lesotho",2,19,16,0.800269955388003,2125267,59.4294,2329753748.89367,150,90,-0.4215104,0,9054.14,0
"Lituanie","LTU","Lithuania",100,49,83,-0.264704354944785,2794137,81.61948,48174429493.2316,0,0,0.7798127,0,1700.296,1
"Luxembourg","LUX","Luxembourg",0,12,12,1.9628449198635,620001,69.6031,67313525747,0,0,1.349191,1,289.1023,1
"Lettonie","LVA","Latvia",35,48,40,-0.695239140136066,1913822,80.28054,30728393325.3996,0,0,0.4434652,0,1704.598,1
