"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Guinée-Bissau","GNB","Guinea-Bissau",0.00156175409973466,0.00156175409973466,0.00260292349955776,2.45652856791883,1920917,43.23319,650.069382434149,550,205,-0.5580111,0,4440.633,0
"Grèce","GRC","Greece",0.0214520581011272,0.00736831560864805,0.0249963111787048,-0.105339392724138,10721582,68.42391,19003.829047083,0,0,0.1817382,0,2098.726,0
"Grenade","GRD","Grenada",0,0.0624988839485009,0.0446420599632149,0.494964112035921,112002,53.44488,10133.1322043807,1256,50,0.9535552,0,7120.287,0
"Guatemala","GTM","Guatemala",0.0140929675730452,0.00825101092951794,0.0204769614309204,1.56038604781094,16604026,62.59562,4254.03515942326,405,37,-0.5735922,0,9001.048,0
"Guyana","GUY","Guyana",0.0498227459998084,0.00127750630768739,0.0408802018459966,0.482526666451711,782775,55.49196,6478.2876883346,265,62.5,-0.2464192,0,7320.075,0
"Hong-Kong","HKG","China, Hong Kong SAR",0.00253083624157498,0.102965074459866,0.0531475610730746,0.754094920172569,7507400,85.3154,44189.6925318932,265.625,56.8,-0.222178,0,9639.476,0
"Honduras","HND","Honduras",0.022367887101681,0.00153907480057438,0.0237017519288455,1.64061784169287,9746115,56.26791,2482.12020452458,482.76,70,-0.5751516,0,8810.234,0
"Croatie","HRV","Croatia",0.0132833061066556,0.00737961450369756,0.0167271262083811,-0.554146739042888,4065253,73.62096,14068.0445267591,0,0,0.6946999,0,1081.762,1
"Haïti","HTI","Haiti",0.000799071017791849,0.00807949584656203,0.00896735253299741,1.24985422874917,11263079,40.72493,1373.88310426926,562.5,150,-0.891515,1,7361.197,0
"Hongrie","HUN","Hungary",0.0544460467820493,0.0077780066831499,0.0264042858454299,-0.0452557101106228,9771141,73.41584,15041.0985793785,0,0,0.7721581,0,1247.24,1
"Indonésie","IDN","Indonesia",0.0130771088601544,0,0.00804062980494374,1.09792643725552,270625567,69.57879,3877.38297656325,382.5867,164.4,-0.4934046,0,11584.25,0
"Inde","IND","India",0.00309714944892739,0,0.00309349024589227,1.01326124930492,1366417756,71.04511,1972.75782082376,266.11,100,-0.7708004,0,6594.23,0
"Irlande","IRL","Ireland",0.0312098477202625,0.019252828139123,0.0263459753482735,1.36762695363797,4934340,79.57614,75143.0184709957,253,75,0.9663891,0,778.2031,1
"Iran","IRN","Iran (Islamic Republic of)",0.0276431357528949,4.82428198130801e-05,0.0270401005052314,1.35228980616831,82913893,58.54658,4785.0278763552,660.3846,90,-1.706922,0,4218.442,0
"Iraq","IRQ","Iraq",0.00256933457465264,0.0027474072679454,0.005240424974044,2.25413907484826,39309789,44.70443,5154.27684783576,644.4444,500,-2.603781,0,3867.434,0
"Islande","ISL","Iceland",0.0277344042511295,0.0055468808502259,0.0305078446762424,2.19893225826166,360563,78.96154,57818.8594639095,365,0,1.639301,0,2234.723,1
"Israël","ISR","Israel",0.0681466755025403,0,0.0674839849790148,1.90898263957994,9054000,76.67572,38995.2304525406,306.6667,70,-0.7933716,0,3281.899,0
"Italie","ITA","Italy",0.0227359935439154,0.00157377274898973,0.0190192110941737,-1.15302842389952,59729081,72.85055,32090.9947117484,0,0,0.4043851,0,1109.901,1
"Jamaïque","JAM","Jamaica",0.0454502748554495,0.0108537969804058,0.0546081660576669,0.456356507419859,2948277,69.67997,5065.37488938016,906,90,0.3973095,0,7734.696,0
"Jordanie","JOR","Jordan",0.0183137546097453,0.00613758262596869,0.0234614045541061,1.35921632969114,10101697,68.97453,4133.54980467597,205.7143,190,-0.2619681,0,3371.398,0
"Japon","JPN","Japan",0.0181998277890795,0.0086643218456279,0.0194353252369021,-0.208999472902293,126264931,77.99983,36362.3573229906,314.8417,107,1.031847,0,9725.629,0
"Kazakstan","KAZ","Kazakhstan",0.0115590245112356,0.00983057224787323,0.0192290314299059,1.28960848954226,18513673,79.55915,11402.7601135125,0,0,-0.1684883,0,5561.785,0
"Kenya","KEN","Kenya",0.00169285304264751,0,0.0016167697598319,2.27274637907931,52573967,73.21648,1600.12841860548,832.5,115,-1.101751,0,6491.402,0
"Kirghizistan","KGZ","Kyrgyzstan",0.00123911898640067,0.00526625569220284,0.00650537467860351,2.08787614010317,6456200,67.82089,1226.82446375586,499.0909,200,-0.2417716,0,5424.702,0
"Cambodge","KHM","Cambodia",0.00169835493701469,6.06555334648103e-05,0.00212294367126836,1.44641184190217,16486542,53.84483,1441.17922808069,240,120,-0.0894939,0,9947.79,0
"Kiribati","KIR","Kiribati",0.00850282293721515,0.0170056458744303,0.0170056458744303,1.51298666799305,117608,46.93884,1664.51151868394,685,120,1.128833,0,14371.47,0
"Saint-Christophe-et-Niévès","KNA","Saint Kitts and Nevis",0,0.0757088238634213,0.056781617897566,0.752340352327407,52834,54.63689,21516.79857801,310.7143,90,0.7239246,0,6760.687,0
"Corée du Sud","KOR","Republic of Korea",0.0183715496983647,0.00357385561955569,0.020960180255232,0.347874968577526,51764822,84.00083,31640.2146297141,314.6389,26.75,0.5512064,0,8981.467,0
"Koweït","KWT","Kuwait",0.0133109044593194,0.0366049872631283,0.0484897233875206,1.67213222595982,4207077,67.40473,27156.4753544053,633.7273,331.8182,0.1926405,0,4415.222,0
"Lao, Rép. dém. Pop.","LAO","Lao People's Democratic Republic",0.00502130147670897,0.000557922386300997,0.00557922386300997,1.5172569744542,7169456,50.82456,2579.25366112481,223.5,115,0.5163149,0,9245.57,0
"Liban","LBN","Lebanon",0.0183788430926692,0.00233382134510085,0.0173577962541876,-0.0539404817281259,6855709,54.3316,6823.10408513478,790,135,-1.672521,1,3197.032,0
"Libéria","LBR","Liberia",0.00324058902566425,0.00729132530774456,0.0105319143334088,2.4272153554856,4937374,43.22747,650.413369116513,1012.5,405,-0.3314337,0,4892.298,0
"Libye","LBY","Libya",0.0182959586735607,0.0112136520902469,0.0295096107638076,1.46982235441249,6777453,32.68552,5971.84964599938,637.4286,60,-2.568074,0,2007.716,0
